,Date,Weathercode,Max Temperature,Min Temperature,Mean Temperature,Sunrise,Sunset,Total Precipitation,Total Rain,Total Snow
0,2018-05-06,[2],[69.9],[40.4],[56.0],['2018-05-06T06:19'],['2018-05-06T20:27'],[0.0],[0.0],[0.0]
1,2018-05-07,[2],[66.1],[42.9],[55.5],['2018-05-07T06:17'],['2018-05-07T20:29'],[0.0],[0.0],[0.0]
2,2018-05-08,[0],[65.4],[40.6],[53.8],['2018-05-08T06:16'],['2018-05-08T20:30'],[0.0],[0.0],[0.0]
3,2018-05-09,[53],[69.7],[43.1],[56.5],['2018-05-09T06:15'],['2018-05-09T20:31'],[0.055],[0.055],[0.0]
4,2018-05-10,[61],[60.5],[43.3],[53.4],['2018-05-10T06:14'],['2018-05-10T20:32'],[0.083],[0.083],[0.0]
5,2018-05-11,[61],[53.0],[40.3],[45.1],['2018-05-11T06:13'],['2018-05-11T20:33'],[0.542],[0.542],[0.0]
6,2018-05-12,[73],[46.7],[35.2],[40.6],['2018-05-12T06:12'],['2018-05-12T20:34'],[0.422],[0.289],[0.937]
7,2018-05-13,[53],[55.2],[30.0],[42.8],['2018-05-13T06:11'],['2018-05-13T20:35'],[0.063],[0.063],[0.0]
8,2018-05-14,[61],[57.6],[32.5],[45.0],['2018-05-14T06:10'],['2018-05-14T20:36'],[0.217],[0.217],[0.0]
9,2018-05-15,[55],[60.4],[32.2],[47.3],['2018-05-15T06:09'],['2018-05-15T20:37'],[0.055],[0.055],[0.0]
10,2018-05-16,[1],[65.0],[36.7],[52.2],['2018-05-16T06:08'],['2018-05-16T20:38'],[0.0],[0.0],[0.0]
11,2018-05-17,[51],[63.8],[37.9],[52.2],['2018-05-17T06:07'],['2018-05-17T20:38'],[0.012],[0.012],[0.0]
12,2018-05-18,[63],[56.1],[40.6],[47.6],['2018-05-18T06:06'],['2018-05-18T20:39'],[0.316],[0.316],[0.0]
13,2018-05-19,[51],[58.1],[37.4],[48.6],['2018-05-19T06:06'],['2018-05-19T20:40'],[0.04],[0.04],[0.0]
14,2018-05-20,[55],[65.6],[38.0],[51.4],['2018-05-20T06:05'],['2018-05-20T20:41'],[0.133],[0.133],[0.0]
15,2018-05-21,[61],[66.0],[39.9],[53.0],['2018-05-21T06:04'],['2018-05-21T20:42'],[0.118],[0.118],[0.0]
16,2018-05-22,[63],[60.0],[42.0],[49.9],['2018-05-22T06:03'],['2018-05-22T20:43'],[0.35],[0.35],[0.0]
17,2018-05-23,[51],[61.0],[36.1],[50.2],['2018-05-23T06:02'],['2018-05-23T20:44'],[0.024],[0.024],[0.0]
18,2018-05-24,[1],[67.9],[39.2],[55.1],['2018-05-24T06:02'],['2018-05-24T20:45'],[0.0],[0.0],[0.0]
19,2018-05-25,[0],[73.2],[41.5],[59.6],['2018-05-25T06:01'],['2018-05-25T20:46'],[0.0],[0.0],[0.0]
20,2018-05-26,[53],[67.6],[45.3],[57.2],['2018-05-26T06:00'],['2018-05-26T20:46'],[0.064],[0.064],[0.0]
21,2018-05-27,[61],[55.9],[43.5],[50.0],['2018-05-27T06:00'],['2018-05-27T20:47'],[0.336],[0.336],[0.0]
22,2018-05-28,[61],[56.6],[38.8],[48.6],['2018-05-28T05:59'],['2018-05-28T20:48'],[0.198],[0.198],[0.0]
23,2018-05-29,[51],[61.2],[40.8],[52.1],['2018-05-29T05:59'],['2018-05-29T20:49'],[0.064],[0.064],[0.0]
24,2018-05-30,[51],[71.2],[40.6],[57.4],['2018-05-30T05:58'],['2018-05-30T20:50'],[0.008],[0.008],[0.0]
25,2018-05-31,[51],[72.0],[44.9],[59.2],['2018-05-31T05:58'],['2018-05-31T20:50'],[0.016],[0.016],[0.0]
26,2018-06-01,[53],[54.4],[43.1],[49.9],['2018-06-01T05:57'],['2018-06-01T20:51'],[0.096],[0.096],[0.0]
27,2018-06-02,[0],[65.9],[35.5],[52.6],['2018-06-02T05:57'],['2018-06-02T20:52'],[0.0],[0.0],[0.0]
28,2018-06-03,[1],[73.1],[40.6],[58.4],['2018-06-03T05:57'],['2018-06-03T20:53'],[0.0],[0.0],[0.0]
29,2018-06-04,[1],[79.3],[43.6],[63.3],['2018-06-04T05:56'],['2018-06-04T20:53'],[0.0],[0.0],[0.0]
30,2018-06-05,[1],[76.8],[53.2],[65.3],['2018-06-05T05:56'],['2018-06-05T20:54'],[0.0],[0.0],[0.0]
31,2018-06-06,[51],[78.2],[48.8],[64.1],['2018-06-06T05:56'],['2018-06-06T20:55'],[0.012],[0.012],[0.0]
32,2018-06-07,[1],[77.1],[50.6],[65.4],['2018-06-07T05:56'],['2018-06-07T20:55'],[0.0],[0.0],[0.0]
33,2018-06-08,[0],[75.3],[47.8],[63.6],['2018-06-08T05:55'],['2018-06-08T20:56'],[0.0],[0.0],[0.0]
34,2018-06-09,[0],[80.2],[48.0],[66.2],['2018-06-09T05:55'],['2018-06-09T20:56'],[0.0],[0.0],[0.0]
35,2018-06-10,[1],[67.5],[46.9],[53.1],['2018-06-10T05:55'],['2018-06-10T20:57'],[0.0],[0.0],[0.0]
36,2018-06-11,[0],[68.1],[38.2],[54.6],['2018-06-11T05:55'],['2018-06-11T20:57'],[0.0],[0.0],[0.0]
37,2018-06-12,[0],[71.9],[42.9],[59.4],['2018-06-12T05:55'],['2018-06-12T20:58'],[0.0],[0.0],[0.0]
38,2018-06-13,[0],[82.6],[45.2],[66.3],['2018-06-13T05:55'],['2018-06-13T20:58'],[0.0],[0.0],[0.0]
39,2018-06-14,[1],[80.3],[57.6],[69.3],['2018-06-14T05:55'],['2018-06-14T20:59'],[0.0],[0.0],[0.0]
40,2018-06-15,[51],[76.0],[49.9],[64.8],['2018-06-15T05:55'],['2018-06-15T20:59'],[0.004],[0.004],[0.0]
41,2018-06-16,[51],[72.9],[51.3],[62.5],['2018-06-16T05:55'],['2018-06-16T20:59'],[0.024],[0.024],[0.0]
42,2018-06-17,[53],[74.8],[56.1],[64.9],['2018-06-17T05:55'],['2018-06-17T21:00'],[0.032],[0.032],[0.0]
43,2018-06-18,[55],[63.4],[47.4],[55.2],['2018-06-18T05:55'],['2018-06-18T21:00'],[0.175],[0.175],[0.0]
44,2018-06-19,[2],[63.0],[47.9],[55.8],['2018-06-19T05:55'],['2018-06-19T21:00'],[0.0],[0.0],[0.0]
45,2018-06-20,[0],[70.3],[43.3],[58.5],['2018-06-20T05:55'],['2018-06-20T21:01'],[0.0],[0.0],[0.0]
46,2018-06-21,[1],[78.1],[47.1],[64.4],['2018-06-21T05:56'],['2018-06-21T21:01'],[0.0],[0.0],[0.0]
47,2018-06-22,[1],[69.9],[51.4],[61.6],['2018-06-22T05:56'],['2018-06-22T21:01'],[0.0],[0.0],[0.0]
48,2018-06-23,[51],[73.6],[48.1],[62.2],['2018-06-23T05:56'],['2018-06-23T21:01'],[0.032],[0.032],[0.0]
49,2018-06-24,[1],[68.6],[45.9],[59.7],['2018-06-24T05:56'],['2018-06-24T21:01'],[0.0],[0.0],[0.0]
50,2018-06-25,[0],[79.3],[45.3],[64.4],['2018-06-25T05:57'],['2018-06-25T21:02'],[0.0],[0.0],[0.0]
51,2018-06-26,[0],[82.1],[52.5],[69.1],['2018-06-26T05:57'],['2018-06-26T21:02'],[0.0],[0.0],[0.0]
52,2018-06-27,[1],[86.1],[52.3],[71.4],['2018-06-27T05:58'],['2018-06-27T21:02'],[0.0],[0.0],[0.0]
53,2018-06-28,[1],[84.1],[60.2],[72.3],['2018-06-28T05:58'],['2018-06-28T21:02'],[0.0],[0.0],[0.0]
54,2018-06-29,[51],[67.6],[53.8],[61.8],['2018-06-29T05:58'],['2018-06-29T21:02'],[0.012],[0.012],[0.0]
55,2018-06-30,[1],[65.6],[50.7],[58.9],['2018-06-30T05:59'],['2018-06-30T21:02'],[0.0],[0.0],[0.0]
56,2018-07-01,[0],[74.3],[45.3],[61.8],['2018-07-01T05:59'],['2018-07-01T21:01'],[0.0],[0.0],[0.0]
57,2018-07-02,[2],[80.1],[49.4],[66.7],['2018-07-02T06:00'],['2018-07-02T21:01'],[0.0],[0.0],[0.0]
58,2018-07-03,[51],[77.7],[53.3],[66.5],['2018-07-03T06:00'],['2018-07-03T21:01'],[0.02],[0.02],[0.0]
59,2018-07-04,[1],[83.1],[50.8],[69.0],['2018-07-04T06:01'],['2018-07-04T21:01'],[0.0],[0.0],[0.0]
60,2018-07-05,[51],[85.3],[52.7],[71.3],['2018-07-05T06:01'],['2018-07-05T21:01'],[0.004],[0.004],[0.0]
61,2018-07-06,[1],[89.2],[56.6],[74.9],['2018-07-06T06:02'],['2018-07-06T21:00'],[0.0],[0.0],[0.0]
62,2018-07-07,[1],[87.3],[62.5],[75.8],['2018-07-07T06:03'],['2018-07-07T21:00'],[0.0],[0.0],[0.0]
63,2018-07-08,[51],[89.5],[59.4],[76.3],['2018-07-08T06:03'],['2018-07-08T21:00'],[0.012],[0.012],[0.0]
64,2018-07-09,[53],[87.2],[59.3],[74.1],['2018-07-09T06:04'],['2018-07-09T20:59'],[0.072],[0.072],[0.0]
65,2018-07-10,[1],[87.3],[61.4],[75.6],['2018-07-10T06:05'],['2018-07-10T20:59'],[0.0],[0.0],[0.0]
66,2018-07-11,[61],[82.7],[60.7],[72.6],['2018-07-11T06:05'],['2018-07-11T20:58'],[0.083],[0.083],[0.0]
67,2018-07-12,[53],[81.9],[58.8],[71.5],['2018-07-12T06:06'],['2018-07-12T20:58'],[0.04],[0.04],[0.0]
68,2018-07-13,[1],[83.7],[58.4],[72.7],['2018-07-13T06:07'],['2018-07-13T20:57'],[0.0],[0.0],[0.0]
69,2018-07-14,[51],[77.1],[61.6],[67.9],['2018-07-14T06:08'],['2018-07-14T20:57'],[0.02],[0.02],[0.0]
70,2018-07-15,[1],[85.0],[55.0],[71.4],['2018-07-15T06:09'],['2018-07-15T20:56'],[0.0],[0.0],[0.0]
71,2018-07-16,[2],[84.6],[55.9],[72.3],['2018-07-16T06:09'],['2018-07-16T20:56'],[0.0],[0.0],[0.0]
72,2018-07-17,[1],[82.7],[57.7],[71.5],['2018-07-17T06:10'],['2018-07-17T20:55'],[0.0],[0.0],[0.0]
73,2018-07-18,[1],[85.2],[57.0],[72.9],['2018-07-18T06:11'],['2018-07-18T20:54'],[0.0],[0.0],[0.0]
74,2018-07-19,[1],[86.5],[57.5],[73.8],['2018-07-19T06:12'],['2018-07-19T20:54'],[0.0],[0.0],[0.0]
75,2018-07-20,[53],[83.0],[62.5],[73.8],['2018-07-20T06:13'],['2018-07-20T20:53'],[0.04],[0.04],[0.0]
76,2018-07-21,[53],[85.8],[60.5],[73.4],['2018-07-21T06:13'],['2018-07-21T20:52'],[0.032],[0.032],[0.0]
77,2018-07-22,[61],[75.2],[63.6],[69.5],['2018-07-22T06:14'],['2018-07-22T20:51'],[0.123],[0.123],[0.0]
78,2018-07-23,[1],[82.9],[56.8],[70.8],['2018-07-23T06:15'],['2018-07-23T20:51'],[0.0],[0.0],[0.0]
79,2018-07-24,[1],[86.5],[56.8],[73.3],['2018-07-24T06:16'],['2018-07-24T20:50'],[0.0],[0.0],[0.0]
80,2018-07-25,[61],[84.2],[60.1],[73.5],['2018-07-25T06:17'],['2018-07-25T20:49'],[0.122],[0.122],[0.0]
81,2018-07-26,[2],[84.7],[58.1],[72.3],['2018-07-26T06:18'],['2018-07-26T20:48'],[0.0],[0.0],[0.0]
82,2018-07-27,[61],[83.3],[57.2],[72.0],['2018-07-27T06:19'],['2018-07-27T20:47'],[0.079],[0.079],[0.0]
83,2018-07-28,[3],[85.2],[58.0],[73.6],['2018-07-28T06:20'],['2018-07-28T20:46'],[0.0],[0.0],[0.0]
84,2018-07-29,[1],[82.6],[56.1],[71.3],['2018-07-29T06:21'],['2018-07-29T20:45'],[0.0],[0.0],[0.0]
85,2018-07-30,[0],[84.0],[53.6],[70.5],['2018-07-30T06:22'],['2018-07-30T20:44'],[0.0],[0.0],[0.0]
86,2018-07-31,[1],[87.8],[54.7],[73.4],['2018-07-31T06:23'],['2018-07-31T20:43'],[0.0],[0.0],[0.0]
87,2018-08-01,[51],[84.1],[64.0],[74.7],['2018-08-01T06:23'],['2018-08-01T20:42'],[0.028],[0.028],[0.0]
88,2018-08-02,[51],[81.3],[61.0],[70.6],['2018-08-02T06:24'],['2018-08-02T20:41'],[0.012],[0.012],[0.0]
