,Unnamed: 0,Date,Weathercode,Max Temperature,Min Temperature,Mean Temperature,Sunrise,Sunset,Total Precipitation,Total Rain,Total Snow,Description
0,0,2018-05-06,2,69.9,40.4,56.0,06:19:00,20:27:00,0.0,0.0,0.0,Partly Cloudy
1,1,2018-05-07,2,66.1,42.9,55.5,06:17:00,20:29:00,0.0,0.0,0.0,Partly Cloudy
2,2,2018-05-08,0,65.4,40.6,53.8,06:16:00,20:30:00,0.0,0.0,0.0,Sunny
3,3,2018-05-09,53,69.7,43.1,56.5,06:15:00,20:31:00,0.055,0.055,0.0,Drizzle
4,4,2018-05-10,61,60.5,43.3,53.4,06:14:00,20:32:00,0.083,0.083,0.0,Light Rain
5,5,2018-05-11,61,53.0,40.3,45.1,06:13:00,20:33:00,0.542,0.542,0.0,Light Rain
6,6,2018-05-12,73,46.7,35.2,40.6,06:12:00,20:34:00,0.422,0.289,0.937,Snow
7,7,2018-05-13,53,55.2,30.0,42.8,06:11:00,20:35:00,0.063,0.063,0.0,Drizzle
8,8,2018-05-14,61,57.6,32.5,45.0,06:10:00,20:36:00,0.217,0.217,0.0,Light Rain
9,9,2018-05-15,55,60.4,32.2,47.3,06:09:00,20:37:00,0.055,0.055,0.0,Heavy Drizzle
10,10,2018-05-16,1,65.0,36.7,52.2,06:08:00,20:38:00,0.0,0.0,0.0,Mainly Sunny
11,11,2018-05-17,51,63.8,37.9,52.2,06:07:00,20:38:00,0.012,0.012,0.0,Light Drizzle
12,12,2018-05-18,63,56.1,40.6,47.6,06:06:00,20:39:00,0.316,0.316,0.0,Rain
13,13,2018-05-19,51,58.1,37.4,48.6,06:06:00,20:40:00,0.04,0.04,0.0,Light Drizzle
14,14,2018-05-20,55,65.6,38.0,51.4,06:05:00,20:41:00,0.133,0.133,0.0,Heavy Drizzle
15,15,2018-05-21,61,66.0,39.9,53.0,06:04:00,20:42:00,0.118,0.118,0.0,Light Rain
16,16,2018-05-22,63,60.0,42.0,49.9,06:03:00,20:43:00,0.35,0.35,0.0,Rain
17,17,2018-05-23,51,61.0,36.1,50.2,06:02:00,20:44:00,0.024,0.024,0.0,Light Drizzle
18,18,2018-05-24,1,67.9,39.2,55.1,06:02:00,20:45:00,0.0,0.0,0.0,Mainly Sunny
19,19,2018-05-25,0,73.2,41.5,59.6,06:01:00,20:46:00,0.0,0.0,0.0,Sunny
20,20,2018-05-26,53,67.6,45.3,57.2,06:00:00,20:46:00,0.064,0.064,0.0,Drizzle
21,21,2018-05-27,61,55.9,43.5,50.0,06:00:00,20:47:00,0.336,0.336,0.0,Light Rain
22,22,2018-05-28,61,56.6,38.8,48.6,05:59:00,20:48:00,0.198,0.198,0.0,Light Rain
23,23,2018-05-29,51,61.2,40.8,52.1,05:59:00,20:49:00,0.064,0.064,0.0,Light Drizzle
24,24,2018-05-30,51,71.2,40.6,57.4,05:58:00,20:50:00,0.008,0.008,0.0,Light Drizzle
25,25,2018-05-31,51,72.0,44.9,59.2,05:58:00,20:50:00,0.016,0.016,0.0,Light Drizzle
26,26,2018-06-01,53,54.4,43.1,49.9,05:57:00,20:51:00,0.096,0.096,0.0,Drizzle
27,27,2018-06-02,0,65.9,35.5,52.6,05:57:00,20:52:00,0.0,0.0,0.0,Sunny
28,28,2018-06-03,1,73.1,40.6,58.4,05:57:00,20:53:00,0.0,0.0,0.0,Mainly Sunny
29,29,2018-06-04,1,79.3,43.6,63.3,05:56:00,20:53:00,0.0,0.0,0.0,Mainly Sunny
30,30,2018-06-05,1,76.8,53.2,65.3,05:56:00,20:54:00,0.0,0.0,0.0,Mainly Sunny
31,31,2018-06-06,51,78.2,48.8,64.1,05:56:00,20:55:00,0.012,0.012,0.0,Light Drizzle
32,32,2018-06-07,1,77.1,50.6,65.4,05:56:00,20:55:00,0.0,0.0,0.0,Mainly Sunny
33,33,2018-06-08,0,75.3,47.8,63.6,05:55:00,20:56:00,0.0,0.0,0.0,Sunny
34,34,2018-06-09,0,80.2,48.0,66.2,05:55:00,20:56:00,0.0,0.0,0.0,Sunny
35,35,2018-06-10,1,67.5,46.9,53.1,05:55:00,20:57:00,0.0,0.0,0.0,Mainly Sunny
36,36,2018-06-11,0,68.1,38.2,54.6,05:55:00,20:57:00,0.0,0.0,0.0,Sunny
37,37,2018-06-12,0,71.9,42.9,59.4,05:55:00,20:58:00,0.0,0.0,0.0,Sunny
38,38,2018-06-13,0,82.6,45.2,66.3,05:55:00,20:58:00,0.0,0.0,0.0,Sunny
39,39,2018-06-14,1,80.3,57.6,69.3,05:55:00,20:59:00,0.0,0.0,0.0,Mainly Sunny
40,40,2018-06-15,51,76.0,49.9,64.8,05:55:00,20:59:00,0.004,0.004,0.0,Light Drizzle
41,41,2018-06-16,51,72.9,51.3,62.5,05:55:00,20:59:00,0.024,0.024,0.0,Light Drizzle
42,42,2018-06-17,53,74.8,56.1,64.9,05:55:00,21:00:00,0.032,0.032,0.0,Drizzle
43,43,2018-06-18,55,63.4,47.4,55.2,05:55:00,21:00:00,0.175,0.175,0.0,Heavy Drizzle
44,44,2018-06-19,2,63.0,47.9,55.8,05:55:00,21:00:00,0.0,0.0,0.0,Partly Cloudy
45,45,2018-06-20,0,70.3,43.3,58.5,05:55:00,21:01:00,0.0,0.0,0.0,Sunny
46,46,2018-06-21,1,78.1,47.1,64.4,05:56:00,21:01:00,0.0,0.0,0.0,Mainly Sunny
47,47,2018-06-22,1,69.9,51.4,61.6,05:56:00,21:01:00,0.0,0.0,0.0,Mainly Sunny
48,48,2018-06-23,51,73.6,48.1,62.2,05:56:00,21:01:00,0.032,0.032,0.0,Light Drizzle
49,49,2018-06-24,1,68.6,45.9,59.7,05:56:00,21:01:00,0.0,0.0,0.0,Mainly Sunny
50,50,2018-06-25,0,79.3,45.3,64.4,05:57:00,21:02:00,0.0,0.0,0.0,Sunny
51,51,2018-06-26,0,82.1,52.5,69.1,05:57:00,21:02:00,0.0,0.0,0.0,Sunny
52,52,2018-06-27,1,86.1,52.3,71.4,05:58:00,21:02:00,0.0,0.0,0.0,Mainly Sunny
53,53,2018-06-28,1,84.1,60.2,72.3,05:58:00,21:02:00,0.0,0.0,0.0,Mainly Sunny
54,54,2018-06-29,51,67.6,53.8,61.8,05:58:00,21:02:00,0.012,0.012,0.0,Light Drizzle
55,55,2018-06-30,1,65.6,50.7,58.9,05:59:00,21:02:00,0.0,0.0,0.0,Mainly Sunny
56,56,2018-07-01,0,74.3,45.3,61.8,05:59:00,21:01:00,0.0,0.0,0.0,Sunny
57,57,2018-07-02,2,80.1,49.4,66.7,06:00:00,21:01:00,0.0,0.0,0.0,Partly Cloudy
58,58,2018-07-03,51,77.7,53.3,66.5,06:00:00,21:01:00,0.02,0.02,0.0,Light Drizzle
59,59,2018-07-04,1,83.1,50.8,69.0,06:01:00,21:01:00,0.0,0.0,0.0,Mainly Sunny
60,60,2018-07-05,51,85.3,52.7,71.3,06:01:00,21:01:00,0.004,0.004,0.0,Light Drizzle
61,61,2018-07-06,1,89.2,56.6,74.9,06:02:00,21:00:00,0.0,0.0,0.0,Mainly Sunny
62,62,2018-07-07,1,87.3,62.5,75.8,06:03:00,21:00:00,0.0,0.0,0.0,Mainly Sunny
63,63,2018-07-08,51,89.5,59.4,76.3,06:03:00,21:00:00,0.012,0.012,0.0,Light Drizzle
64,64,2018-07-09,53,87.2,59.3,74.1,06:04:00,20:59:00,0.072,0.072,0.0,Drizzle
65,65,2018-07-10,1,87.3,61.4,75.6,06:05:00,20:59:00,0.0,0.0,0.0,Mainly Sunny
66,66,2018-07-11,61,82.7,60.7,72.6,06:05:00,20:58:00,0.083,0.083,0.0,Light Rain
67,67,2018-07-12,53,81.9,58.8,71.5,06:06:00,20:58:00,0.04,0.04,0.0,Drizzle
68,68,2018-07-13,1,83.7,58.4,72.7,06:07:00,20:57:00,0.0,0.0,0.0,Mainly Sunny
69,69,2018-07-14,51,77.1,61.6,67.9,06:08:00,20:57:00,0.02,0.02,0.0,Light Drizzle
70,70,2018-07-15,1,85.0,55.0,71.4,06:09:00,20:56:00,0.0,0.0,0.0,Mainly Sunny
71,71,2018-07-16,2,84.6,55.9,72.3,06:09:00,20:56:00,0.0,0.0,0.0,Partly Cloudy
72,72,2018-07-17,1,82.7,57.7,71.5,06:10:00,20:55:00,0.0,0.0,0.0,Mainly Sunny
73,73,2018-07-18,1,85.2,57.0,72.9,06:11:00,20:54:00,0.0,0.0,0.0,Mainly Sunny
74,74,2018-07-19,1,86.5,57.5,73.8,06:12:00,20:54:00,0.0,0.0,0.0,Mainly Sunny
75,75,2018-07-20,53,83.0,62.5,73.8,06:13:00,20:53:00,0.04,0.04,0.0,Drizzle
76,76,2018-07-21,53,85.8,60.5,73.4,06:13:00,20:52:00,0.032,0.032,0.0,Drizzle
77,77,2018-07-22,61,75.2,63.6,69.5,06:14:00,20:51:00,0.123,0.123,0.0,Light Rain
78,78,2018-07-23,1,82.9,56.8,70.8,06:15:00,20:51:00,0.0,0.0,0.0,Mainly Sunny
79,79,2018-07-24,1,86.5,56.8,73.3,06:16:00,20:50:00,0.0,0.0,0.0,Mainly Sunny
80,80,2018-07-25,61,84.2,60.1,73.5,06:17:00,20:49:00,0.122,0.122,0.0,Light Rain
81,81,2018-07-26,2,84.7,58.1,72.3,06:18:00,20:48:00,0.0,0.0,0.0,Partly Cloudy
82,82,2018-07-27,61,83.3,57.2,72.0,06:19:00,20:47:00,0.079,0.079,0.0,Light Rain
83,83,2018-07-28,3,85.2,58.0,73.6,06:20:00,20:46:00,0.0,0.0,0.0,Cloudy
84,84,2018-07-29,1,82.6,56.1,71.3,06:21:00,20:45:00,0.0,0.0,0.0,Mainly Sunny
85,85,2018-07-30,0,84.0,53.6,70.5,06:22:00,20:44:00,0.0,0.0,0.0,Sunny
86,86,2018-07-31,1,87.8,54.7,73.4,06:23:00,20:43:00,0.0,0.0,0.0,Mainly Sunny
87,87,2018-08-01,51,84.1,64.0,74.7,06:23:00,20:42:00,0.028,0.028,0.0,Light Drizzle
88,88,2018-08-02,51,81.3,61.0,70.6,06:24:00,20:41:00,0.012,0.012,0.0,Light Drizzle
89,89,2018-08-03,51,82.1,60.1,71.4,06:25:00,20:40:00,0.02,0.02,0.0,Light Drizzle
90,90,2018-08-04,1,80.0,55.1,69.4,06:26:00,20:39:00,0.0,0.0,0.0,Mainly Sunny
91,91,2018-08-05,51,76.8,56.7,67.7,06:27:00,20:37:00,0.008,0.008,0.0,Light Drizzle
92,92,2018-08-06,0,79.9,49.6,66.4,06:28:00,20:36:00,0.0,0.0,0.0,Sunny
93,93,2018-08-07,0,81.2,50.6,67.6,06:29:00,20:35:00,0.0,0.0,0.0,Sunny
94,94,2018-08-08,0,84.1,52.1,69.8,06:30:00,20:34:00,0.0,0.0,0.0,Sunny
95,95,2018-08-09,0,87.0,54.5,72.5,06:31:00,20:32:00,0.0,0.0,0.0,Sunny
96,96,2018-08-10,2,89.9,55.8,73.9,06:32:00,20:31:00,0.0,0.0,0.0,Partly Cloudy
97,97,2018-08-11,51,88.7,58.2,75.0,06:33:00,20:30:00,0.004,0.004,0.0,Light Drizzle
98,98,2018-08-12,51,85.9,61.3,74.8,06:34:00,20:29:00,0.024,0.024,0.0,Light Drizzle
99,99,2018-08-13,53,83.3,60.9,71.6,06:35:00,20:27:00,0.055,0.055,0.0,Drizzle
100,100,2018-08-14,2,81.6,58.7,70.6,06:36:00,20:26:00,0.0,0.0,0.0,Partly Cloudy
101,101,2018-08-15,1,81.0,55.1,70.3,06:37:00,20:25:00,0.0,0.0,0.0,Mainly Sunny
102,102,2018-08-16,51,80.2,55.9,68.9,06:38:00,20:23:00,0.036,0.036,0.0,Light Drizzle
103,103,2018-08-17,51,81.7,55.0,69.3,06:39:00,20:22:00,0.004,0.004,0.0,Light Drizzle
104,104,2018-08-18,51,75.0,50.7,64.6,06:40:00,20:20:00,0.008,0.008,0.0,Light Drizzle
105,105,2018-08-19,0,77.8,50.9,65.3,06:41:00,20:19:00,0.0,0.0,0.0,Sunny
106,106,2018-08-20,51,83.6,53.1,68.3,06:42:00,20:17:00,0.028,0.028,0.0,Light Drizzle
107,107,2018-08-21,63,75.8,55.9,63.8,06:43:00,20:16:00,0.434,0.434,0.0,Rain
108,108,2018-08-22,63,73.8,53.9,61.9,06:44:00,20:14:00,0.359,0.359,0.0,Rain
109,109,2018-08-23,51,73.4,50.4,62.3,06:45:00,20:13:00,0.012,0.012,0.0,Light Drizzle
110,110,2018-08-24,61,75.8,51.9,63.9,06:46:00,20:11:00,0.115,0.115,0.0,Light Rain
111,111,2018-08-25,1,76.6,52.4,64.8,06:47:00,20:10:00,0.0,0.0,0.0,Mainly Sunny
112,112,2018-08-26,2,74.1,56.8,65.1,06:48:00,20:08:00,0.0,0.0,0.0,Partly Cloudy
113,113,2018-08-27,2,65.2,55.0,60.2,06:49:00,20:07:00,0.0,0.0,0.0,Partly Cloudy
114,114,2018-08-28,0,64.9,46.2,55.6,06:50:00,20:05:00,0.0,0.0,0.0,Sunny
115,115,2018-08-29,1,75.0,44.2,60.7,06:51:00,20:04:00,0.0,0.0,0.0,Mainly Sunny
116,116,2018-08-31,2,73.8,52.2,64.0,06:53:00,20:00:00,0.0,0.0,0.0,Partly Cloudy
117,117,2018-09-01,1,72.9,47.4,61.1,06:54:00,19:59:00,0.0,0.0,0.0,Mainly Sunny
118,118,2018-09-02,1,76.0,45.5,62.0,06:55:00,19:57:00,0.0,0.0,0.0,Mainly Sunny
119,119,2018-09-03,51,76.5,46.1,62.7,06:56:00,19:56:00,0.004,0.004,0.0,Light Drizzle
120,120,2018-09-05,51,78.4,47.8,62.9,06:58:00,19:52:00,0.032,0.032,0.0,Light Drizzle
121,121,2018-09-08,51,78.7,52.1,65.5,07:01:00,19:47:00,0.032,0.032,0.0,Light Drizzle
122,122,2018-09-09,1,76.2,48.3,63.4,07:02:00,19:46:00,0.0,0.0,0.0,Mainly Sunny
123,123,2018-09-11,1,77.5,51.4,64.6,07:04:00,19:42:00,0.0,0.0,0.0,Mainly Sunny
